time,uname,comment,star,title,support,sentiment_score
"
                    2019-02-13 20:29:50
                ",萌 . 李,我被那个绳子画符酷到了！！！故事相对很完整嘛，道士不仅能打僵尸还能打吸血鬼，厉害了！,4,推荐,1,0.9727551319736641
"
                    2011-05-10 09:20:53
                ",Lyanna,小僵尸太可爱了。,4,推荐,2,0.5508528591608987
"
                    2012-02-23 19:09:50
                ",西来,童年的记忆,3,还行,0,0.9723665709653476
"
                    2011-05-21 22:36:46
                ",端舞,那个小僵尸真是好可爱啊哈哈哈哈,4,推荐,3,0.9636363226988591
"
                    2012-03-10 11:42:00
                ",被遗弃的孩子,林叔主演的片子笑点就是多啊,4,推荐,1,0.9968389614278795
"
                    2010-05-26 16:33:42
                ",Hey Johnny,林正英大叔太帅了，太正气了！刚看完钱嘉乐的《僵尸叔叔》后再看钱小豪，真觉得兄弟俩是两种style，当然我都爱~片子还加入了西方吸血鬼的新鲜元素，分三条线索并进，挺好看！,4,推荐,3,0.9999731454203578
"
                    2011-12-30 02:10:56
                ",小心轻放,小僵尸真是太可爱了,4,推荐,2,0.5508528591608987
"
                    2010-03-21 10:03:30
                ",但愿人长囧,是林正英导演的？果然没有他其他作品好为朕消遣！,3,还行,1,0.91591078212319
"
                    2008-04-09 02:51:43
                ",七先生™,这个片子好看。最后那个外国僵尸就一直弄不死  所以就把他阴道沼泽里陷下去 哈哈,5,力荐,1,0.13303657163308202
"
                    2011-02-20 11:27:42
                ",灰,挺好的，动作排的不错,3,还行,0,0.9288974119461355
"
                    2022-06-27 04:31:05
                ",贺兰迈克,道士跟vampire斗法还是满赞的，修女跟道士传道的桥段也满搞笑，恐怖张力终于够足，节奏是整个5部目前最好的，就是女鬼附身略显多余可以省去。吴君如跟道长的SM简直绝了。,3,还行,0,0.9994832525800847
"
                    2011-03-08 23:52:37
                ",鹿丸,我不喜欢这类僵尸,2,较差,0,0.5430546206273411
"
                    2012-01-01 00:52:11
                ",張春秋,道士和神父打来打去，最终道士获胜。,3,还行,1,0.9127616048003843
"
                    2018-11-15 09:29:47
                ",单单,小僵尸简直不要太可爱，林正英还是那个林正英，为长镜头连贯的法术和招式点赞。,5,力荐,2,0.9170856205341252
"
                    2021-08-28 02:41:42
                ",Panda的影音,在参演了一众僵尸片后，林正英终于也当了导演，自导自演了这部《一眉道人》。本片沿袭了此前僵尸片的一些经典元素（诸如：鬼怪从罈字逃出作怪、可爱的小僵尸、女鬼色诱、鬼上身…等），还加入了一群修女制造了好些笑点，而终极反派-西洋僵尸却像是个吸血鬼，最后的结尾：两只蛤蟆的肚皮上一只写一个“拜”字。,4,推荐,1,0.9999999138226995
"
                    2011-12-07 16:02:25
                ",超cute侠,林正英的僵尸片就是给力！,4,推荐,1,0.47460773049580474
"
                    2009-01-08 20:51:06
                ",bb,还可以哦 有点休闲,4,推荐,1,0.747098941640479
"
                    2014-03-08 17:54:56
                ",大刚,天师大战吸血鬼,3,还行,0,0.9456110083469695
"
                    2013-11-29 16:20:17
                ",一江水,小僵尸号可爱~~,3,还行,0,0.6974809748691052
"
                    2008-07-19 17:43:36
                ",沉歌,小毅家收集的僵尸片真是多到另人叹为观止~~~,3,还行,1,0.050718670958509904
"
                    2011-07-10 20:38:46
                ",科时代,英叔。,3,还行,0,0.8387547124102936
"
                    2013-04-23 05:37:41
                ",踢踏人字拖,林正英还是无法被取代啊。 小僵尸刚一出来，旁边一哥们吓得“哎呦”一声，笑死劳资了。。。。。。,3,还行,1,0.12294798215097136
"
                    2012-08-16 15:08:53
                ",受伤鸽子往南飞,港式B级片，欢乐也很多~,2,较差,0,0.7721546929348126
"
                    2017-06-15 18:31:30
                ",ᥫ᭡້໌,中西结合剧情好，小僵尸很萌。,4,推荐,2,0.9934684983373339
"
                    2014-01-26 14:08:28
                ",hungry,0芭蕉精倒是比吸血鬼更有意思,3,还行,0,0.8096930235685945
"
                    2014-01-08 22:20:28
                ",乔大路,茅山道法降西洋鬼怪，养萌僵尸斗凶吸血鬼，这剧情像配乐一样混搭，属不落窠臼的僵尸片典范。,4,推荐,0,0.9011778940013874
"
                    2011-11-01 10:54:08
                ",Comel,老片,4,推荐,0,0.5
"
                    2018-08-24 20:12:36
                ",瑶瑶,小僵尸和结尾拜拜的两只癞蛤蟆有点萌。,4,推荐,1,0.8985073161535502
"
                    2023-10-05 14:21:03
                ",托尼·王大拿,中西幻术体系不兼容，但好在是物理法宇宙普适；这部恶趣味颇多，林正英的表演也是在系列僵尸片里最具趣味的一次。,3,还行,5,0.9999982463056435
"
                    2012-01-06 20:08:52
                ",唔想郁本郁,小僵尸,3,还行,0,0.4055093018212198
"
                    2012-04-12 23:10:12
                ",茉琉,僵尸vs吸血鬼，小叔最爱看的片之一，录像带应该还健在，怀念整院子人一起看片的美好时光,3,还行,0,0.99998707340291
"
                    2022-11-30 00:30:00
                ",生人回避,久病成医，久演成导（指道长,4,推荐,0,0.35790623676825783
