电影名,评分,地区,地址,发布日期,评论人数
土拨鼠之日,8.6,美国,https://movie.douban.com/subject/1300613/,1993-02-12,214649
初恋这件小事,8.5,泰国,https://movie.douban.com/subject/4739952/,2012-06-05,1000792
了不起的狐狸爸爸,8.6,美国,https://movie.douban.com/subject/1759386/,2009-10-14,203970
开心家族,8.6,韩国,https://movie.douban.com/subject/6019180/,2011-11-29,202510
真爱至上,8.5,英国,https://movie.douban.com/subject/1292401/,2003-09-07,758450
冰雪奇缘,8.5,美国,https://movie.douban.com/subject/4202982/,2014-02-05,729394
钢的琴,8.5,中国大陆,https://movie.douban.com/subject/4876722/,2011-07-15,387667
家有喜事,8.5,中国香港,https://movie.douban.com/subject/1300064/,1992-01-25,293759
完美陌生人,8.5,意大利,https://movie.douban.com/subject/26614893/,2018-05-25,524424
赌神,8.5,中国香港,https://movie.douban.com/subject/1300883/,1989-12-14,272944
三毛从军记,8.6,中国大陆,https://movie.douban.com/subject/2132220/,1992,95151
哪啊哪啊神去村,8.6,日本,https://movie.douban.com/subject/24741412/,2014-05-10,168733
热天午后,8.7,美国,https://movie.douban.com/subject/1293374/,1975-09-21,102694
有话好好说,8.5,中国大陆,https://movie.douban.com/subject/1296436/,1997-05-16,244880
亚当斯一家的价值观,8.8,美国,https://movie.douban.com/subject/1299900/,1993-11-19,72571
海底总动员,8.5,美国,https://movie.douban.com/subject/1291586/,2003-07-30,401360
落叶归根,8.5,中国大陆,https://movie.douban.com/subject/1853621/,2007-01-19,213002
玩具总动员4,8.5,美国,https://movie.douban.com/subject/6850547/,2019-06-21,345741
麦兜·我和我妈妈,8.6,中国香港,https://movie.douban.com/subject/25884416/,2014-10-01,79587
麻将,8.7,中国台湾,https://movie.douban.com/subject/1297418/,1996-12-07,51290
疯狂约会美丽都,8.7,法国,https://movie.douban.com/subject/1291565/,2003-06-11,89332
巴黎淘气帮,8.6,法国,https://movie.douban.com/subject/3157605/,2013-02-10,133467
玩具总动员2,8.5,美国,https://movie.douban.com/subject/1291574/,1999-11-24,258551
哪吒之魔童降世,8.4,中国大陆,https://movie.douban.com/subject/26794435/,2019-07-26,1855274
黑炮事件,8.7,中国大陆,https://movie.douban.com/subject/1434269/,1986,46562
蝴蝶,8.6,法国,https://movie.douban.com/subject/1292056/,2002-12-18,120207
安妮·霍尔,8.6,美国,https://movie.douban.com/subject/1296987/,1977-04-20,118513
河童之夏,8.7,日本,https://movie.douban.com/subject/2982823/,2007-07-28,81322
麦兜·当当伴我心,8.5,中国大陆,https://movie.douban.com/subject/10772258/,2012-07-10,114568
偷拐抢骗,8.5,英国,https://movie.douban.com/subject/1301171/,2000-09-01,197496
美女与野兽,8.5,美国,https://movie.douban.com/subject/1297995/,1991-09-29,194730
一夜风流,8.8,美国,https://movie.douban.com/subject/1295684/,1934-02-22,59798
国产凌凌漆,8.4,中国香港,https://movie.douban.com/subject/1307739/,1994-10-13,421782
疯狂的赛车,8.4,中国大陆,https://movie.douban.com/subject/2124703/,2009-01-20,402191
王牌特工：特工学院,8.4,英国,https://movie.douban.com/subject/24405378/,2015-03-27,685073
克劳斯：圣诞节的秘密,8.8,西班牙,https://movie.douban.com/subject/26858510/,2019-11-08,58996
机器管家,8.6,美国,https://movie.douban.com/subject/1292529/,1999-12-13,108167
上帝也疯狂2,8.8,南非,https://movie.douban.com/subject/1294490/,1989-07-26,58529
甲方乙方,8.4,中国大陆,https://movie.douban.com/subject/1303173/,1997-12-24,332176
开罗紫玫瑰,8.8,美国,https://movie.douban.com/subject/1292994/,1985-03-01,57516
回到未来3,8.6,美国,https://movie.douban.com/subject/1296666/,1990-05-25,102987
僵尸先生,8.5,中国香港,https://movie.douban.com/subject/1295933/,1985-11-07,94510
小萝莉的猴神大叔,8.4,印度,https://movie.douban.com/subject/26393561/,2018-03-02,482057
那年夏天，宁静的海,8.6,日本,https://movie.douban.com/subject/1295815/,1991-10-19,100640
蜘蛛侠：纵横宇宙,8.4,美国,https://movie.douban.com/subject/30391186/,2023-06-02,437156
盗钥匙的方法,8.5,日本,https://movie.douban.com/subject/6880497/,2012-06-17,161116
小鬼当家,8.4,美国,https://movie.douban.com/subject/1293088/,1990-11-16,418821
百变狸猫,8.6,日本,https://movie.douban.com/subject/1303907/,1994-07-16,97484
极品基老伴：完结篇,9.4,英国,https://movie.douban.com/subject/26700818/,2016-06-19,24115
我的个神啊,8.4,印度,https://movie.douban.com/subject/10741643/,2015-05-22,371982
堕落天使,8.4,中国香港,https://movie.douban.com/subject/1298112/,1995-09-06,201684
我的邻居山田君,8.8,日本,https://movie.douban.com/subject/1417728/,1999-07-17,54304
巴斯特·斯克鲁格斯的歌谣,8.5,美国,https://movie.douban.com/subject/26952704/,2018-08-31,140293
狐妖小红娘剧场版：王权富贵,9.2,中国大陆,https://movie.douban.com/subject/26946612/,2016-05-20,15958
心理游戏,8.9,日本,https://movie.douban.com/subject/1477916/,2004-08-07,43196
桃色公寓,8.8,美国,https://movie.douban.com/subject/1394218/,1960-06-15,51800
回到未来2,8.5,美国,https://movie.douban.com/subject/1299092/,1989-11-22,118349
驴得水,8.3,中国大陆,https://movie.douban.com/subject/25921812/,2016-10-28,938679
少年斯派维的奇异旅行,8.5,法国,https://movie.douban.com/subject/6985803/,2013-10-16,116563
将军号,9.1,美国,https://movie.douban.com/subject/1292778/,1926-12-25,30889
茜茜公主,8.5,奥地利,https://movie.douban.com/subject/1304056/,1955-12-22,113964
雄狮少年,8.3,中国大陆,https://movie.douban.com/subject/35144311/,2021-12-17,505278
金枝玉叶,8.4,中国香港,https://movie.douban.com/subject/1303376/,1994-07-23,108595
天生一对,8.4,美国,https://movie.douban.com/subject/1297102/,1998-07-29,187781
