电影名,评分,地区,地址,发布日期,评论人数
刺杀肯尼迪,8.8,美国,https://movie.douban.com/subject/1292230/,1991-12-20,40297
危情十日,8.5,美国,https://movie.douban.com/subject/1292850/,1990-11-30,85224
侏罗纪公园,8.3,美国,https://movie.douban.com/subject/1292523/,2013-08-20,327491
老无所依,8.3,美国,https://movie.douban.com/subject/1857099/,2007-05-19,315376
老男孩,8.3,韩国,https://movie.douban.com/subject/1308865/,2003-11-21,306940
精武门,8.5,中国香港,https://movie.douban.com/subject/1294991/,1972-03-22,45484
逃离德黑兰,8.3,美国,https://movie.douban.com/subject/6549903/,2012-08-31,297449
夜访吸血鬼,8.3,美国,https://movie.douban.com/subject/1299327/,1994-11-11,288248
情枭的黎明,8.7,美国,https://movie.douban.com/subject/1292646/,1993-11-10,46733
黑社会2：以和为贵,8.3,中国香港,https://movie.douban.com/subject/1484760/,2006-04-27,156877
碟中谍,8.3,美国,https://movie.douban.com/subject/1292484/,1996-05-22,278857
飓风营救,8.3,法国,https://movie.douban.com/subject/2124586/,2008-04-09,267592
异形,8.3,英国,https://movie.douban.com/subject/1300868/,1979-05-25,258084
超时空接触,8.4,美国,https://movie.douban.com/subject/1295647/,1997-07-11,117252
异次元骇客,8.4,美国,https://movie.douban.com/subject/1300282/,1999-05-28,113532
汉尼拔,8.3,英国,https://movie.douban.com/subject/1301746/,2001-02-09,210420
调音师,8.2,印度,https://movie.douban.com/subject/30334073/,2019-04-03,953987
假面,8.8,瑞典,https://movie.douban.com/subject/1294438/,1966-10-18,35495
夜行者,8.3,美国,https://movie.douban.com/subject/25750969/,2014-09-05,176590
无间道3：终极无间,8.2,中国大陆,https://movie.douban.com/subject/1307694/,2003-12-12,361050
天才瑞普利,8.3,美国,https://movie.douban.com/subject/1295045/,1999-12-25,162827
真实的谎言,8.3,美国,https://movie.douban.com/subject/1292553/,1995-04-20,161222
孤儿怨,8.2,美国,https://movie.douban.com/subject/3011308/,2009-07-24,495253
猛龙过江,8.4,中国香港,https://movie.douban.com/subject/1306870/,1972-12-30,48753
我是传奇,8.2,美国,https://movie.douban.com/subject/1820156/,2007-12-14,417450
椿三十郎,8.8,日本,https://movie.douban.com/subject/1293310/,1962-01-01,33634
铁雨,8.2,韩国,https://movie.douban.com/subject/26863778/,2017-12-14,141902
蒙太奇,8.2,韩国,https://movie.douban.com/subject/21937438/,2013-05-16,141709
招魂,8.1,美国,https://movie.douban.com/subject/3804629/,2013-06-08,356607
迷雾,8.1,美国,https://movie.douban.com/subject/1945330/,2007-11-21,343256
气球,8.4,德国,https://movie.douban.com/subject/30192401/,2018-09-27,58889
杀死比尔2,8.1,美国,https://movie.douban.com/subject/1291584/,2004-04-08,324057
潜伏2,8.2,美国,https://movie.douban.com/subject/10485526/,2013-09-13,126230
生死时速,8.2,美国,https://movie.douban.com/subject/1293167/,1994-06-10,125093
